EAN-13;Descricao;Cod.Prod;Validade;Porcao;Kcal;Carboidratos;Proteinas;GordurasTotais;GordurasSaturadas;GordurasTrans;Colesterol;Fibra;Calcio;Ferro;Sodio
3976;COCADA LE CHEF C/2 UN;3976-4;4;60;191;39;4,5;3,4;0,5;0;16;0,6;86;0,6;50
3970;COCADA LE CHEF UN;3970-5;4;60;191;39;4,5;3,4;0,5;0;16;0,6;86;0,6;50
11310;COCO SECO ABERTO BDJ kg;11310-7;5;0;285;12;3;27;0;0;0;0;11;1,9;16
24374;COCO SECO ABERTO FRESH&GOURMET;24374-4;3;1;285;12;3;27;0;0;0;0;11;1,9;16
7486;COCO SECO EMB.KG;7486-1;12;100;285;12;3;0;0;0;0;0;11;1,9;16
3000030672038;COCO SECO FRESH&GOURMET 180g;306720-3;5;100;406;10,4;3,7;42;0;0;0;5,4;0;0;15
10804;COCO SECO FRESH&GOURMET T.B.Kg;10804-9;999;100;406;10,4;3,7;42;0;0;0;5,4;0;0;15
11199;COCO SECO FRESH&GOURMET VACUO;11199-6;12;1;285;12;3;27;0;0;0;0;11;1,9;16
7485;COCO SECO PEDACOS kg;7485-3;999;100;275;12;3;0;0;0;0;0;11;1,9;16
3814;COCO VERDE FEIRINHA UNIDADE;3814-8;10;100;430;10;4;42;0;0;0;5;0;0;0
6318;COLOMBA C/COB.DE NOZES BSTEK k;6318-5;31;80;247;42;5;6;3;0;0;2;20;0;100
3000030665849;COLOMBA C/COBERTURA CHOC.PASCO;306658-4;30;80;321;43;5,5;13;6;0;0;1,3;0;0;128
513;COLOMBA CHOCOLATE BISTEK kg;513-4;31;80;320;45;6;13;8;0;0;2;35;0;160
1184;COLOMBA PASCAL C/COB.  NOZES B;1184-3;999;50;152,2;28,3;2,2;4,8;1,7;0;0;1;0;0;20,4
1139;COLOMBA PASCAL CHOCOLATE BISTE;1139-8;999;50;180,6;26;2,7;7,4;5,6;0;0;0,9;0;0;64,3
3000030666068;COLOMBA PASCOA 300G;306660-6;30;80;321;43;5,5;13;6;0;0;1,3;0;0;128
13864;COLOMBA PASCOAL C/ PISTACHE IN;13864-9;15;80;315;45;5;13;5;0;0;1;0;0;136
13863;COLOMBA PASCOAL ESPECIARIAS IN;13863-0;15;80;303;46;6;11;5;0;0;2;0;0;143
13862;COLOMBA PASCOAL FLORESTA NEGRA;13862-2;15;80;284;44;5;9;4;0;0;1,3;0;0;140
13861;COLOMBA PASCOAL KIDS IND KG;13861-4;15;80;288;45;5;9,5;4;0;0;1;0;0;144
4057;COMBINADO SUSHI BISTEK KG;4057-6;3;50;174;26;7;4,3;1,5;0;0;0,7;0;0;384
4214;CONCHIGLIONE C/ABOBORA CARNE S;4214-5;1;70;109;17;4,8;2,5;0,7;0;0;1,4;0;0;48
10483;CONCHIGLIONE C/ABOBORA CARNE S;10483-3;1;100;155;24;7;4;1;0;0;2;0;0;69
6454;CONTRA FILE;6454-8;999;100;202;0;19,8;13;9;0;0;0;0;0;1013,9
2912;CONTRA FILE  ASSADO P/FORNO;2912-2;999;100;219;0;21;14;6;0;0;0;0;0;65
6060;CONTRA FILE  ASSADO P/FORNO;6060-7;999;100;219;0;21;14;6;0;0;0;0;0;65
2768;CONTRA FILE  BIFE;2768-5;999;100;219;0;21;14;6;0;0;0;0;0;65
1228;CONTRA FILE  BIFE BABY;1228-9;999;100;219;0;21;14;6;0;0;0;0;0;65
1152;CONTRA FILE  BOMBOM;1152-5;999;100;219;0;21;14;6;0;0;0;0;0;65
1230;CONTRA FILE  CHORIZZO;1230-0;999;100;219;0;21;14;6;0;0;0;0;0;65
6089;CONTRA FILE  CHORIZZO;6089-5;999;100;219;0;21;14;9;0;0;0;0;0;65
1271;CONTRA FILE  CORTE NOBRE;1271-8;999;100;219;0;21;14;6;0;0;0;0;0;65
6061;CONTRA FILE  CORTE NOBRE;6061-5;999;100;219;0;21;14;6;0;0;0;0;0;65
1433;CONTRA FILE  ENTRE-CORTE;1433-8;999;100;219;0;21;14;6;0;0;0;0;0;65
2067;CONTRA FILE  ESCALOPE;2067-2;999;100;219;0;21;14;6;0;0;0;0;0;65
6091;CONTRA FILE  ESCALOPE;6091-7;999;100;219;0;21;14;9;0;0;0;0;0;65
1631;CONTRA FILE  ESCALOPE CHORIZZO;1631-4;999;100;219;0;21;14;6;0;0;0;0;0;65
6090;CONTRA FILE  ESCALOPE DE CHORI;6090-9;999;100;219;0;21;14;9;0;0;0;0;0;65
1252;CONTRA FILE  GRELHA;1252-1;999;100;219;0;21;14;6;0;0;0;0;0;65
451;CONTRA FILE  LOMBO;451-0;999;100;219;0;21;14;6;0;0;0;0;0;65
5984;CONTRA FILE  LOMBO;5984-6;999;100;219;0;21;14;6;0;0;0;0;0;65
1229;CONTRA FILE  NOIX;1229-7;999;100;219;0;21;14;6;0;0;0;0;0;65
5985;CONTRA FILE  NOIX;5985-4;999;100;291;0;21;14;6;0;0;0;0;0;65
3248;CONTRA FILE  NOIX MACRO INDIVI;3248-4;999;100;219;0;21;14;6;0;0;0;0;0;65
2769;CONTRA FILE  PARA ESPETINHO;2769-3;999;100;219;0;21;14;6;0;0;0;0;0;65
6092;CONTRA FILE  PARA ESPETINHO;6092-5;999;100;219;0;21;14;9;0;0;0;0;0;65
1266;CONTRA FILE  RIPA S/OSSO;1266-1;999;100;219;0;21;14;6;0;0;0;0;0;65
2300;CONTRA FILE  SANFONADO;2300-0;999;100;219;0;21;14;6;0;0;0;0;0;65
3000000559055;CONTRA FILE FRESCAL ASSADO;5590-5;999;100;139;1,1;18;6,7;2,5;0;0;0;0;0;978
2851;CONTRA FILE MACRO INDIVIDUAL;2851-7;999;100;219;0;21;14;6;0;0;0;0;0;65
7150;CONTRA FILE MELLORE KG;7150-1;5;100;178;0;18;12;5,3;0,7;0;0;0;0;65
6033;CONTRA FILE SALGADO;6033-0;999;100;139;1,1;18;6,7;2,5;0;0;0;0;0;978
2303;CONTRA FILE SALGADO  BANANINHA;2303-5;999;70;127;0,7;17;6,2;2,3;0;0;0;0;0;1111
6054;CONTRA FILE SALGADO  BANANINHA;6054-2;999;100;139;1,1;18;6,7;2,5;0;0;0;0;0;978
2983;CONTRA FILE SALGADO  NOIX;2983-1;999;70;127;0,7;17;6,2;2,3;0;0;0;0;0;1111
6034;CONTRA FILE SALGADO  NOIX;6034-8;999;100;139;1,1;18;6,7;2,5;0;0;0;0;0;978
2187;CONTRA FILE SALGADO (FRESCAL);2187-3;999;70;127;0,7;17;6,2;2,3;0;0;0;0;0;1111
6544;CONTRA FILE SALGADO (FRESCAL);6544-7;999;100;202;0;19,8;13;9;0;0;0;0;0;515
1000000100259;COOCKIES AMME 300G CHOCOLATE S;204195-2;30;30;145;14;0,9;9,5;1,5;0;0;0,3;0;0;22
7786;COOKIES BISTEK KG;7786-0;5;50;220;29,6;3;9,9;1;0;13;0,2;0;0;174
9389;COOKIES C/MOUSSE GREGO LIMAO R;9389-0;4;60;139;17;4;6,2;4,3;0;0;1,8;0;0;23
13860;COOKIES CHOCOLATE MMs IND 160g;13860-6;15;30;120;17;2;4,6;2;0;0;0,6;0;0;101
13859;COOKIES INTEGRAL C/ GRANOLA IN;13859-2;15;30;116;17;2;5,6;1,4;0;0;1,4;0;0;88
9921;COOKIES LARANJA BISTEK kg;9921-0;15;25;107;10;1,3;7,5;1,8;0;0;0,2;0;0;107
12448;COOKIES LARANJA IND kg;12448-6;30;25;107;10;1,3;7,5;1,8;0;0;0,2;0;0;107
13858;COOKIES LARANJA ND 160g;13858-4;15;25;107;10;1,3;7,5;1,8;0;0;0,2;0;0;107
6751;COOKIES PANFACIL CONG.AV/GOTAS;6751-2;999;30;123;18;2;4,6;1,5;0,2;0;0,7;0;0;64
6750;COOKIES PANFACIL CONG.CHOC/CAS;6750-4;999;30;129;17;2,3;5;1,6;0,2;0;0,7;0;0;60
13857;COOKIES RED VELVET IND 160g;13857-6;15;30;114;11;2;7;2;0;0;0,2;0;0;94
13856;COOKIES TRADICIONAL IND 160g;13856-8;15;30;125;17;2;5;2;0;0;0,4;0;0;94
3656;COPA DTALIA SUINA kg;3656-0;999;100;140;0;19;14;2;0;0;0;6;2;60
11622;COPA LOMBO C/FAROFA 350g;11622-0;6;100;286;0,7;16;22;7,8;0;0;0;0;0;1224
6931;COPA SADIA EM CUBOS;6931-0;999;40;137;0;12;9,6;3,7;0;0;0;0;0;1111
1975;COPA SADIA KG FATIADA;1975-5;999;40;137;0;12;9,6;3,7;0;0;0;0;0;1111
11414;COPO TOMATE MOZZARE.BUF.C/PEST;11414-6;5;100;100;4;6;7;5;0;0;3;0;0;3
455;CORACAO BOVINO CONG.;455-3;999;100;117;3;17;4;1;0;0;0;2;4;63
5735;CORACAO BOVINO EL GOLLI KG;5735-5;999;100;117;3;17;4;1;0;0;0;0;0;63
6551;CORACAO DA PALETA SALGADA (FRE;6551-0;999;100;127;0;17;6,2;2,3;0;0;0;0;0;427
7215;CORACAO FRANGO ROT.BISTEK KG;7215-0;1;100;452,1;0;25,2;30,1;9,9;0;318;0;11,2;8,2;502
5986;COSTELA  DE DIANTEIRO;5986-2;999;100;291;0;21;14;6;0;0;0;0;0;65
5048;COSTELA  DE DIANTEIRO MACRO IN;5048-2;999;100;219;0;21;14;6;0;0;0;0;0;65
6827;COSTELA  DO DIANTEIRO;6827-6;999;100;219;0;0;21;14;6;0;0;0;0;65
7726;COSTELA BISTEK KG;7726-7;1;100;357;0;16;32;15;0;44;0;28;1,2;864
5275;COSTELA BOVINA (MINGA) CONGELA;5275-2;360;100;220;1;23;13;5;0;0;0;0;0;70
3585;COSTELA BOVINA ASSADA RESTAURA;3585-8;999;100;345;0;16;31;15;0,8;0;0;0;0;1005
8159;COSTELA BOVINA CONGELADA kg;8159-0;30;100;220;1;23;13;5;0;0;0;0;0;70
112;COSTELA BOVINA TRASEIRO;112-0;999;100;219;0;21;14;6;0;0;0;0;0;65
3660;COSTELA C/OSSO ESPECIAL 03 COR;3660-9;999;100;132;23;230;34;11;0;0;0;0;0;750
134;COSTELA C/OSSO GRELHA KG;134-1;999;100;132;23;230;34;11;0;0;0;0;0;750
101;COSTELA C/OSSO P/CHAPA KG;101-5;999;100;132;23;230;34;11;0;0;0;0;0;750
171;COSTELA C/OSSO P/ENSSOPAR KG;171-6;999;100;132;23;230;34;11;0;0;0;0;0;750
651;COSTELA C/OSSO TIRAS KG;651-3;999;100;132;23;230;34;11;0;0;0;0;0;750
6335;COSTELA CORDEIRO R.CORDEIROS C;6335-5;999;100;9;272;15;34;15;9;0;9;0;0;56
6847;COSTELA DO DIANTEIRO SALGADA (;6847-0;999;100;358;0;16,7;31,8;16;0;0;0;0;0;368,2
7853;COSTELA DO TRASEIRO;7853-0;7;100;220;1;23;13;5;0;0;0;0;0;70
8975;COSTELA DO TRASEIRO (JANELA) B;8975-3;7;100;357,7;0;16;14;6;0;0;0;0;0;70
1797;COSTELA DO TRASEIRO JANELAO;1797-3;4;100;219;0;21;14;6;0;0;0;0;0;65
3342;COSTELA DO TRASEIRO S/OSSO MAC;3342-1;999;70;127;0,7;17;6,2;2,3;0;0;0;0;0;1111
6493;COSTELA DO TRASEIRO SALG.S/OSS;6493-9;999;100;358;0;16,7;31,8;16;0;0;0;0;0;545
6495;COSTELA DO TRASEIRO SALGADA (F;6495-5;999;100;358;0;16,7;31,8;16;0;0;0;0;0;545
6442;COSTELA DOS AMIGOS;6442-4;999;100;219;0;21;14;6;0;0;0;0;0;65
3357;COSTELA ESPECIAL 01 CORTE;3357-0;999;100;132;23;230;34;11;0;0;0;0;0;750
9883;COSTELA OP kg;9883-3;1;100;357;0;16;32;15;0;0;0;0;0;864
5988;COSTELA S/OSSO;5988-9;999;100;291;0;21;14;6;0;0;0;0;0;65
6038;COSTELA SALGADA  ESPECIAL;6038-0;999;100;139;1,1;18;6,7;2,5;0;0;0;0;0;978
6506;COSTELA SALGADA  FRESCAL;6506-4;999;100;358;0;16,7;31,8;16;0;0;0;0;0;1187
5109;COSTELA SALGADA  P/GRELHA;5109-8;999;100;139;1,1;18;6,7;2,5;0;0;0;0;0;978
6035;COSTELA SALGADA  P/GRELHA;6035-6;999;100;139;1,1;18;6,7;2,5;0;0;0;0;0;0
6136;COSTELA SALGADA  S/OSSO;6136-0;999;100;219;0;21;14;6;0;0;0;0;0;650
6134;COSTELA SALGADA S/OSSO;6134-4;999;70;127;0,7;17;6,2;2,3;0;0;0;0;0;1111
6286;COSTELA SUINA DTALIA CONG.KG;6286-3;999;100;240;0;2;15;11,5;0;0;1;12;2;130
856;COSTELA SUINA DTALIA kg;856-7;5;100;240;0;2;15;11,5;0;0;1;12;2;130
