EAN-13,Descricao,Cod.Prod
7896894900068,ACUCAR CRISTAL COLOMBO 1kg,128921-7
7896894900082,ACUCAR CRISTAL COLOMBO 5kg,128920-9
7896032501010,ACUCAR DA BARRA 1kg REFINADO,150130-5
7896894900013,ACUCAR REFINADO CARAVELAS 1kg,108471-2
7896894900037,ACUCAR REFINADO CARAVELAS 5kg,108470-4
7891910000197,ACUCAR REFINADO UNIAO 1kg,108469-0
7891910020119,ACUCAR REFINADO UNIAO 200g SACHET C/40,149652-2
7891910020027,ACUCAR REFINADO UNIAO 250g EM CUBOS,108485-2
7891910007110,ACUCAR REFINADO UNIAO 500g GLACUCAR,106598-0
7896931615597,AGUA COCO CAMPO LARGO 200ml TP,220679-0
7896931614941,AGUA COCO CAMPO LARGO 250ml INTEGRAL,210525-0
7896931614910,AGUA COCO CAMPO LARGO 900ml INTEGRAL,186995-7
7898902230068,AGUA COCO NOSSO COCO 1l,169008-6
7898902230754,AGUA COCO NOSSO COCO 1l ORGANICO,227013-7
7898902230112,AGUA COCO NOSSO COCO 200ml,169009-4
7896004401409,AGUA COCO SOCOCO 1l,98484-1
7896004400358,AGUA COCO SOCOCO 200ml,98483-3
7896004402116,AGUA COCO SOCOCO 200ml FRUTAS VERMELHAS,221307-9
7896004401652,AGUA COCO SOCOCO 200ml MARACUJA,145990-2
7896004402109,AGUA COCO SOCOCO 200ml MELANCIA,221306-0
7896004401041,AGUA COCO SOCOCO 200ml TANGERINA,98487-6
7896004402093,AGUA COCO SOCOCO 200ml UVA,221305-2
7896004402192,AGUA DE COCO SOCOCO 1l ESPECIALISTAS,228912-1
7898954424095,AGUA MINERAL ARMAZEM 10l S/GAS,197354-1
7898954424071,AGUA MINERAL ARMAZEM 1,5l C/GAS,197353-3
7898954424064,AGUA MINERAL ARMAZEM 1,5l S/GAS,197351-7
7898954424217,AGUA MINERAL ARMAZEM 5l S/GAS,197356-8
7898954424057,AGUA MINERAL ARMAZEM 510ml C/GAS,197349-5
7898954424040,AGUA MINERAL ARMAZEM 510ml S/GAS,197343-6
7894900531015,AGUA MINERAL CRYSTAL 1,5l C/GAS,139151-8
7894900530032,AGUA MINERAL CRYSTAL 1,5l S/GAS,139152-6
7894900530056,AGUA MINERAL CRYSTAL 5l DESCARTAVEL,159890-2
7894900531008,AGUA MINERAL CRYSTAL 500ml C/GAS,139150-0
7894900530001,AGUA MINERAL CRYSTAL 500ml S/GAS,139149-6
7896468830166,AGUA MINERAL DA GUARDA 500ml S/GAS,98518-0
7896436100628,AGUA MINERAL DA PEDRA 1,5l S/GAS,201378-9
7896436100604,AGUA MINERAL DA PEDRA 2l C/GAS,202098-0
7896436103247,AGUA MINERAL DA PEDRA 350ml C/GAS LT,226528-1
7896436103223,AGUA MINERAL DA PEDRA 350ml S/GAS LT,226529-0
7896436100581,AGUA MINERAL DA PEDRA 5l DESC,201395-9
7896436100642,AGUA MINERAL DA PEDRA 500ml C/GAS,201380-0
7896436100666,AGUA MINERAL DA PEDRA 500ml S/GAS,201381-9
61314000070,AGUA MINERAL EVIAN 1l S/GAS,185153-5
61314000032,AGUA MINERAL EVIAN 500ml S/GAS,185154-3
